id,profil_lembaga_id,profil_km_id
a11f33b1-e43e-41fa-b610-1cdbd59f5fd4,717be0cb-2389-4340-8bfd-cd16802fecea,8cd3676c-bfd8-4a39-b473-eea7f5ed545a
c9d0bb6b-7b32-4b3b-94b4-6cc36479da3b,79b634a3-bf75-49ed-b662-4bff8cf9d4f4,1733dac7-d658-4ef4-95a9-e70e22858a58
60a3fe4a-d79b-4971-a837-19fa20ddfa78,f0cd7d03-8046-47b2-ba81-b1e19acb1a43,1733dac7-d658-4ef4-95a9-e70e22858a58
f4002c43-4c7c-427c-935a-d8d509918106,b7d484bf-7385-4ddb-8d12-09cb02344da2,8cd3676c-bfd8-4a39-b473-eea7f5ed545a
9ee6d15b-00a8-4866-a9b1-a2d370bf462c,97e3836c-42b5-4d2e-9253-8c5db83d433e,590803d5-be56-44df-91d4-4dab84b18651
8a019ba7-f770-4fa5-98bd-3f33000a30df,6ea6502d-9eba-4985-9498-30492217b597,1733dac7-d658-4ef4-95a9-e70e22858a58
3b02179e-a936-4223-9501-ee81d3424c28,d9ab4c7f-2a50-47ed-8282-b697f64ee3c5,590803d5-be56-44df-91d4-4dab84b18651
f7627240-9ae8-4b42-a8a6-61e9444d633c,2c387d99-b2cc-4e84-b460-a86f98545af7,d3197070-1a11-4ee3-b592-08f0509817e7
52a41326-1e71-4647-9213-f35b6102ff88,2f5eab78-6d9e-4b4c-925a-1177a3e8debd,1733dac7-d658-4ef4-95a9-e70e22858a58
2f0dce54-94b0-45f7-a051-c17bf94f0f59,447382ba-190a-429a-9ad4-ab7dff9ab2bd,d3197070-1a11-4ee3-b592-08f0509817e7
124d73c0-49f7-48a6-9269-c3dcb411bd83,e4d1a7ae-966d-4401-9058-c0b0d0ba68ca,1733dac7-d658-4ef4-95a9-e70e22858a58
7a8cf0e2-35d8-4cb2-8255-51d67c4c4ceb,e4d1a7ae-966d-4401-9058-c0b0d0ba68ca,8cd3676c-bfd8-4a39-b473-eea7f5ed545a
58e2c4e7-980f-49f7-952b-90376b61061b,97e3836c-42b5-4d2e-9253-8c5db83d433e,8cd3676c-bfd8-4a39-b473-eea7f5ed545a
1a5f2f43-011f-4402-9ef9-4c4e31356365,2c387d99-b2cc-4e84-b460-a86f98545af7,590803d5-be56-44df-91d4-4dab84b18651
530a050a-113e-4c31-8c02-78f4d1a7b1f2,5c8d6766-56b2-4c76-af17-a5d986a023d1,8cd3676c-bfd8-4a39-b473-eea7f5ed545a
