id,profil_id,mahasiswa_id,nilai
ce4dfef8-6645-48e7-b2b4-58cdac870509,a3d043d1-d982-4cb7-8398-c76f6f0302dd,user-76,63
c0dc0dc3-6705-4d39-ae24-71f7c2d16da7,c8687b0f-91ad-4c6f-80c9-10e5c8137ace,user-78,63
cc78f07e-7064-4635-85a1-a482734f2181,43e2c438-74e4-4efd-9864-724a58ef9f6f,user-54,99
eab66c2a-3926-4626-88df-243e9af29d50,6ea6502d-9eba-4985-9498-30492217b597,user-33,72
d8cabd88-73c8-443e-9a10-48232d5281e4,270d7297-1b03-47da-9579-1605d5265c35,user-41,67
dd8dac38-6c18-4abb-871b-3e0587a77225,a3d043d1-d982-4cb7-8398-c76f6f0302dd,user-44,91
c5fcdb84-3805-4004-b4c4-85762e55c523,43e2c438-74e4-4efd-9864-724a58ef9f6f,user-51,91
c49a3b96-31d2-472a-9e0b-28bfbe398641,60a0176a-ecbb-4f04-88aa-c8d8062df0a1,user-24,98
4dc1c26a-0f88-4cf0-8e21-d070b9fa04eb,d9ab4c7f-2a50-47ed-8282-b697f64ee3c5,user-97,93
eca68482-941a-4039-9db7-cb2b6a8b69a1,959bbfe0-1ec3-4445-99ff-82afceba45af,user-25,95
97163517-5a04-43e2-af1b-365142147f8b,2c387d99-b2cc-4e84-b460-a86f98545af7,user-71,87
c278098e-368c-41ad-992e-7fdd124efec3,b7d484bf-7385-4ddb-8d12-09cb02344da2,user-94,90
1854379e-7ba6-4975-a540-9ca2d5b291cd,60a0176a-ecbb-4f04-88aa-c8d8062df0a1,user-69,90
baf4fa5f-2386-4cf5-a02a-1eec6ce3cbda,286c06a3-87b8-47c3-8ac4-dcde30d476bf,user-50,72
068a272d-c057-4232-9aee-e266dd6f5717,2e58351f-f7db-41ce-89b8-f792a83cba0a,user-28,91
002a1c6e-4382-4d7d-adb5-8229776f985a,43e2c438-74e4-4efd-9864-724a58ef9f6f,user-25,92
69e23049-404f-44f7-8b1a-3b8a8b27bafe,1d603f54-448c-405e-8707-234ee7a2cd09,user-26,67
5f863068-adf1-4ad9-946d-ea0a0125882a,0158e788-05f3-4afd-951b-0c5a22e22880,user-30,74
d20a9b78-4dc0-4efb-a28c-75337a6e18c8,c8687b0f-91ad-4c6f-80c9-10e5c8137ace,user-66,93
1f0cbd21-8641-4b76-bc88-9dea6371e837,b7d484bf-7385-4ddb-8d12-09cb02344da2,user-73,71
c2d8e291-52c2-4f9b-860f-d2586a83187f,959bbfe0-1ec3-4445-99ff-82afceba45af,user-32,94
48b80f1e-d481-4fce-af93-0d16d7c6eeae,0158e788-05f3-4afd-951b-0c5a22e22880,user-73,87
54ee523d-b5f7-4bd8-908b-6e48e07896e8,1d603f54-448c-405e-8707-234ee7a2cd09,user-33,99
8a7f8d23-c482-4cf1-a454-488000b020a3,65867a97-7b22-42ab-84bb-567aaea35b51,user-51,60
4ed37305-c467-4dfc-9261-6b2b26b3df0d,2f5eab78-6d9e-4b4c-925a-1177a3e8debd,user-75,63
bef82308-6444-4b6c-beeb-11b735ed6e7a,7903cd76-d254-44ef-ae1c-5e3eb9d97156,user-90,71
51235223-d9bc-4aa4-b8a4-ebc61f1054bb,a3d043d1-d982-4cb7-8398-c76f6f0302dd,user-29,69
6bf7f166-804a-4915-90d9-09d6e31638d6,1d603f54-448c-405e-8707-234ee7a2cd09,user-66,85
8a0781db-c051-44c9-bcf6-047732932143,1c0ba1ec-705c-4fd2-bba8-cb25a25335e5,user-36,65
efe91706-019b-43c2-943e-3f21b0865261,97e3836c-42b5-4d2e-9253-8c5db83d433e,user-92,95
b2c4a1f7-c1e1-4a6f-a7db-38075ce371bc,2f5eab78-6d9e-4b4c-925a-1177a3e8debd,user-33,83
73cc3ee3-f389-40ab-bd71-faf27a80b3d9,a3d043d1-d982-4cb7-8398-c76f6f0302dd,user-36,86
6318643b-8f73-443f-a128-e0dfa52713c5,79b634a3-bf75-49ed-b662-4bff8cf9d4f4,user-86,62
55146b14-6022-4618-abc5-f5eae61b03b2,6ce000ab-0c11-40b1-9daa-6c762ddfe904,user-99,80
1c8128d6-1b47-4253-8b9c-c6a5d062bec0,717be0cb-2389-4340-8bfd-cd16802fecea,user-73,96
a9bdae84-8216-4cbb-ae9a-eeed83ca27ba,02a4e882-9305-40d6-a452-d0b1207df731,user-97,92
ff92b7ea-361c-480a-92e7-8222b348358a,65867a97-7b22-42ab-84bb-567aaea35b51,user-41,91
85f883ee-9f68-4489-b36a-88fbb1c8f8e6,60a0176a-ecbb-4f04-88aa-c8d8062df0a1,user-32,64
63813430-ceec-4256-af83-f8f414990221,9bb6cc42-328f-455e-b6e7-22fe2f6d82ea,user-53,66
0c3b56d4-8604-4ae6-82ba-95eaff5bc467,6ea6502d-9eba-4985-9498-30492217b597,user-91,62
56b93b86-3648-4f47-a6ce-dd15e01119a7,1e7dfe68-ead9-487f-bc3b-a445dadf7caf,user-89,68
e963e105-ac47-4e5a-b9c7-90132871f1be,e4d1a7ae-966d-4401-9058-c0b0d0ba68ca,user-49,61
60cb1648-bd6b-42d5-9ca1-81626ffe90b8,270d7297-1b03-47da-9579-1605d5265c35,user-54,62
24f070fe-8452-485a-84bf-5670c5ac47cf,58e0dcdf-52c4-4f5f-ba88-8d2d2963f9bf,user-90,60
502fc5b9-db69-4c9b-8164-5aeb57cdbeb8,788e4ec3-d828-4dcc-9c5f-ff4d30000850,user-78,78
273ab574-286f-4364-9ee1-6b52ab6a8c55,f0cd7d03-8046-47b2-ba81-b1e19acb1a43,user-75,67
0dc8fde8-e832-4c24-be7e-6993ccb514a8,429143a5-8040-4096-bb34-4df20b140b33,user-85,93
70393f52-677b-4470-9991-1b3c65879dd4,1d603f54-448c-405e-8707-234ee7a2cd09,user-77,76
c1da3822-3fbb-44b9-87c6-f65a36167279,447382ba-190a-429a-9ad4-ab7dff9ab2bd,user-54,72
5fe40fd2-0739-4c2d-a96b-becc92ed8c5d,286c06a3-87b8-47c3-8ac4-dcde30d476bf,user-73,98
ce1e50dc-2563-4126-86fb-b7cf65d32de9,1c0ba1ec-705c-4fd2-bba8-cb25a25335e5,user-100,60
516e1737-d7d7-4079-9082-d074bb022a81,79b634a3-bf75-49ed-b662-4bff8cf9d4f4,user-91,79
e2d994d2-e2e2-4a48-8436-33433017caac,1e7dfe68-ead9-487f-bc3b-a445dadf7caf,user-92,76
375c3998-0645-433b-b0a5-37f2af1f027b,7903cd76-d254-44ef-ae1c-5e3eb9d97156,user-71,65
fc4603a2-f31d-4c3c-a22a-7188ca743017,97e3836c-42b5-4d2e-9253-8c5db83d433e,user-35,67
5e583768-1f13-4844-a853-450c96d95d10,9bb6cc42-328f-455e-b6e7-22fe2f6d82ea,user-41,70
db9bd938-2da3-4a48-b86b-11a2c9ae8624,1d603f54-448c-405e-8707-234ee7a2cd09,user-31,76
cc9c24ce-e6fe-4232-9236-b40a30e5fb96,838cf36f-3339-4177-87b7-c6bacc24c3fa,user-95,92
f78f9633-0037-4038-9d8d-c3851d34577d,bc304bc7-4be9-41ad-a6ef-6040048f87d5,user-23,93
7728039b-f3db-4acc-ac3e-5bd583f1668e,02a4e882-9305-40d6-a452-d0b1207df731,user-71,96
daadd325-ff21-4880-8eab-7e4d13a120b7,429143a5-8040-4096-bb34-4df20b140b33,user-40,79
404c25f3-60fe-4290-8b9e-c377dff707d4,0158e788-05f3-4afd-951b-0c5a22e22880,user-93,70
3e8098f6-a4ba-4e23-82e1-778110bf059a,5c8d6766-56b2-4c76-af17-a5d986a023d1,user-82,60
f4174303-9864-4947-9736-d0c1db913385,7903cd76-d254-44ef-ae1c-5e3eb9d97156,user-44,67
08b06e5a-0de0-4d0c-b301-5d881a6a3f47,9bb6cc42-328f-455e-b6e7-22fe2f6d82ea,user-47,67
720e69d0-7cf0-4481-9b07-4f9fecf62b89,270d7297-1b03-47da-9579-1605d5265c35,user-46,69
c9319fb8-b208-47fe-a7b5-5069ba8c0cc9,447382ba-190a-429a-9ad4-ab7dff9ab2bd,user-25,99
a174eaae-95f1-4ff2-96b2-7189cc396550,f0cd7d03-8046-47b2-ba81-b1e19acb1a43,user-51,72
c1521b69-541b-4156-89e7-6bd71440e303,0158e788-05f3-4afd-951b-0c5a22e22880,user-39,72
f04afa9d-7e7c-4471-a0c3-fe7b70bb03f9,97e3836c-42b5-4d2e-9253-8c5db83d433e,user-74,62
